label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Antifungal_002,362.0,50.0,153.0,51.0,0.6705,0.505,0.25,0.5822,0.3344,0.1635
Antiviral_002,477.0,31.0,87.0,21.0,0.8084,0.4038,0.1944,0.7051,0.2625,0.1825
Anticancer_002,531.0,7.0,77.0,1.0,0.8636,0.125,0.0128,0.6034,0.0233,-0.0006
macro_002,,,,,0.7481,0.4716,0.4286,0.6559,0.4189,0.1932
Antibacterial_002,64.0,78.0,49.0,425.0,0.7938,0.8449,0.8966,0.6966,0.87,0.378
MammalianCells_002,208.0,173.0,55.0,180.0,0.6299,0.5099,0.766,0.6634,0.6122,0.3063
Antifungal_002,378.0,45.0,132.0,61.0,0.7127,0.5755,0.3161,0.6519,0.408,0.2577
Antiviral_002,483.0,34.0,73.0,26.0,0.8263,0.4333,0.2626,0.6661,0.327,0.2438
Anticancer_002,527.0,17.0,70.0,2.0,0.8588,0.1053,0.0278,0.6364,0.044,-0.0065
macro_002,,,,,0.7643,0.4938,0.4538,0.6629,0.4523,0.2359
Antibacterial_002,56.0,92.0,45.0,423.0,0.7776,0.8214,0.9038,0.683,0.8606,0.3257
MammalianCells_002,189.0,163.0,52.0,212.0,0.651,0.5653,0.803,0.6732,0.6635,0.3447
Antifungal_002,374.0,48.0,140.0,54.0,0.6948,0.5294,0.2784,0.6353,0.3649,0.2057
Antiviral_002,493.0,23.0,71.0,29.0,0.8474,0.5577,0.29,0.6883,0.3816,0.3255
Anticancer_002,518.0,10.0,87.0,1.0,0.8425,0.0909,0.0114,0.5983,0.0202,-0.02
macro_002,,,,,0.7627,0.5129,0.4573,0.6556,0.4582,0.2363
Antibacterial_002,53.0,81.0,47.0,435.0,0.7922,0.843,0.9025,0.6928,0.8717,0.3334
MammalianCells_002,182.0,190.0,68.0,176.0,0.5812,0.4809,0.7213,0.6335,0.577,0.2097
Antifungal_002,373.0,30.0,160.0,53.0,0.6916,0.6386,0.2488,0.605,0.3581,0.2429
Antiviral_002,508.0,27.0,60.0,21.0,0.8588,0.4375,0.2593,0.7118,0.3256,0.2632
Anticancer_002,524.0,9.0,81.0,2.0,0.8539,0.1818,0.0241,0.6008,0.0426,0.0186
macro_002,,,,,0.7555,0.5164,0.4312,0.6488,0.435,0.2136
Antibacterial_002,53.0,88.0,26.0,449.0,0.8149,0.8361,0.9453,0.6831,0.8874,0.4035
MammalianCells_002,163.0,199.0,46.0,208.0,0.6023,0.5111,0.8189,0.6423,0.6293,0.2799
Antifungal_002,387.0,31.0,153.0,45.0,0.7013,0.5921,0.2273,0.6179,0.3285,0.2174
Antiviral_002,507.0,21.0,61.0,27.0,0.8669,0.5625,0.3068,0.7036,0.3971,0.3486
Anticancer_002,527.0,17.0,67.0,5.0,0.8636,0.2273,0.0694,0.5942,0.1064,0.0661
macro_002,,,,,0.7698,0.5458,0.4735,0.6482,0.4697,0.2631
Antibacterial_002,56.0,99.0,33.0,428.0,0.7857,0.8121,0.9284,0.6938,0.8664,0.3576
MammalianCells_002,184.0,181.0,47.0,204.0,0.6299,0.5299,0.8127,0.6514,0.6415,0.3216
Antifungal_002,375.0,41.0,142.0,58.0,0.7029,0.5859,0.29,0.6312,0.388,0.2441
Antiviral_002,493.0,19.0,78.0,26.0,0.8425,0.5778,0.25,0.6802,0.349,0.3065
Anticancer_002,526.0,11.0,78.0,1.0,0.8555,0.0833,0.0127,0.6601,0.022,-0.0189
macro_002,,,,,0.7633,0.5178,0.4588,0.6634,0.4534,0.2422
Antibacterial_002,62.0,99.0,37.0,418.0,0.7792,0.8085,0.9187,0.7537,0.8601,0.3634
MammalianCells_002,207.0,170.0,45.0,194.0,0.651,0.533,0.8117,0.6993,0.6434,0.3576
Antifungal_002,387.0,55.0,127.0,47.0,0.7045,0.4608,0.2701,0.6249,0.3406,0.1764
Antiviral_002,484.0,22.0,80.0,30.0,0.8344,0.5769,0.2727,0.7231,0.3704,0.3158
Anticancer_002,516.0,17.0,80.0,3.0,0.8425,0.15,0.0361,0.5681,0.0583,0.0082
macro_002,,,,,0.7623,0.5058,0.4619,0.6738,0.4545,0.2443
Antibacterial_002,67.0,83.0,30.0,436.0,0.8166,0.8401,0.9356,0.7282,0.8853,0.4505
MammalianCells_002,198.0,164.0,48.0,206.0,0.6558,0.5568,0.811,0.6858,0.6603,0.3598
Antifungal_002,376.0,33.0,153.0,54.0,0.6981,0.6207,0.2609,0.6232,0.3673,0.2444
Antiviral_002,496.0,25.0,62.0,33.0,0.8588,0.569,0.3474,0.7074,0.4314,0.3702
Anticancer_002,515.0,9.0,89.0,3.0,0.8409,0.25,0.0326,0.6279,0.0577,0.0398
macro_002,,,,,0.774,0.5673,0.4775,0.6745,0.4804,0.2929
Antibacterial_002,57.0,89.0,29.0,441.0,0.8084,0.8321,0.9383,0.6996,0.882,0.4033
MammalianCells_002,195.0,163.0,51.0,207.0,0.6526,0.5595,0.8023,0.6881,0.6592,0.3496
Antifungal_002,365.0,38.0,156.0,57.0,0.6851,0.6,0.2676,0.6121,0.3701,0.2282
Antiviral_002,503.0,22.0,66.0,25.0,0.8571,0.5319,0.2747,0.7284,0.3623,0.3112
Anticancer_002,535.0,8.0,70.0,3.0,0.8734,0.2727,0.0411,0.625,0.0714,0.0643
macro_002,,,,,0.7753,0.5592,0.4648,0.6706,0.469,0.2713
Antibacterial_002,55.0,92.0,47.0,422.0,0.7744,0.821,0.8998,0.6918,0.8586,0.3141
MammalianCells_002,178.0,162.0,59.0,217.0,0.6412,0.5726,0.7862,0.6646,0.6626,0.3166
Antifungal_002,364.0,41.0,154.0,57.0,0.6834,0.5816,0.2701,0.6024,0.3689,0.2191
Antiviral_002,489.0,26.0,67.0,34.0,0.849,0.5667,0.3366,0.6917,0.4224,0.3573
Anticancer_002,509.0,13.0,93.0,1.0,0.8279,0.0714,0.0106,0.6061,0.0185,-0.0344
macro_002,,,,,0.7552,0.5227,0.4607,0.6513,0.4662,0.2345
Antibacterial_003,58.0,93.0,45.0,420.0,0.776,0.8187,0.9032,0.7057,0.8589,0.3312
MammalianCells_003,197.0,180.0,47.0,192.0,0.6315,0.5161,0.8033,0.6759,0.6285,0.3247
Antifungal_003,364.0,48.0,145.0,59.0,0.6867,0.5514,0.2892,0.6045,0.3794,0.2146
Antiviral_003,479.0,29.0,82.0,26.0,0.8198,0.4727,0.2407,0.6969,0.319,0.2449
Anticancer_003,531.0,7.0,77.0,1.0,0.8636,0.125,0.0128,0.6235,0.0233,-0.0006
macro_003,,,,,0.7555,0.4968,0.4499,0.6613,0.4418,0.223
Antibacterial_003,65.0,77.0,53.0,421.0,0.789,0.8454,0.8882,0.703,0.8663,0.3702
MammalianCells_003,215.0,166.0,51.0,184.0,0.6477,0.5257,0.783,0.6781,0.6291,0.3406
Antifungal_003,378.0,45.0,134.0,59.0,0.7094,0.5673,0.3057,0.6432,0.3973,0.2468
Antiviral_003,482.0,35.0,69.0,30.0,0.8312,0.4615,0.303,0.6809,0.3659,0.2813
Anticancer_003,522.0,22.0,69.0,3.0,0.8523,0.12,0.0417,0.6329,0.0619,0.002
macro_003,,,,,0.7659,0.504,0.4643,0.6676,0.4641,0.2482
Antibacterial_003,63.0,85.0,40.0,428.0,0.7971,0.8343,0.9145,0.7204,0.8726,0.3895
MammalianCells_003,187.0,165.0,54.0,210.0,0.6445,0.56,0.7955,0.6692,0.6573,0.3313
Antifungal_003,365.0,57.0,135.0,59.0,0.6883,0.5086,0.3041,0.6373,0.3806,0.2008
Antiviral_003,498.0,18.0,63.0,37.0,0.8685,0.6727,0.37,0.7256,0.4774,0.4334
Anticancer_003,517.0,11.0,85.0,3.0,0.8442,0.2143,0.0341,0.6118,0.0588,0.0311
macro_003,,,,,0.7685,0.558,0.4836,0.6729,0.4893,0.2772
Antibacterial_003,53.0,81.0,48.0,434.0,0.7906,0.8427,0.9004,0.6939,0.8706,0.3298
MammalianCells_003,183.0,189.0,67.0,177.0,0.5844,0.4836,0.7254,0.6462,0.5803,0.2165
Antifungal_003,370.0,33.0,158.0,55.0,0.6899,0.625,0.2582,0.6138,0.3654,0.2397
Antiviral_003,502.0,33.0,56.0,25.0,0.8555,0.431,0.3086,0.7047,0.3597,0.2858
Anticancer_003,525.0,8.0,80.0,3.0,0.8571,0.2727,0.0361,0.6156,0.0638,0.0545
macro_003,,,,,0.7555,0.531,0.4458,0.6549,0.448,0.2253
Antibacterial_003,54.0,87.0,36.0,439.0,0.8003,0.8346,0.9242,0.7024,0.8771,0.3654
MammalianCells_003,167.0,195.0,41.0,213.0,0.6169,0.5221,0.8386,0.6642,0.6435,0.3122
Antifungal_003,382.0,36.0,147.0,51.0,0.7029,0.5862,0.2576,0.6281,0.3579,0.2299
Antiviral_003,503.0,25.0,64.0,24.0,0.8555,0.4898,0.2727,0.7005,0.3504,0.2915
Anticancer_003,525.0,19.0,68.0,4.0,0.8588,0.1739,0.0556,0.6065,0.0842,0.035
macro_003,,,,,0.7669,0.5213,0.4697,0.6603,0.4626,0.2468
Antibacterial_003,65.0,90.0,37.0,424.0,0.7938,0.8249,0.9197,0.7155,0.8697,0.3959
MammalianCells_003,183.0,182.0,50.0,201.0,0.6234,0.5248,0.8008,0.6422,0.6341,0.3062
Antifungal_003,372.0,44.0,141.0,59.0,0.6997,0.5728,0.295,0.6168,0.3894,0.2375
Antiviral_003,487.0,25.0,71.0,33.0,0.8442,0.569,0.3173,0.6917,0.4074,0.3444
Anticancer_003,525.0,12.0,77.0,2.0,0.8555,0.1429,0.0253,0.6713,0.043,0.0067
macro_003,,,,,0.7633,0.5269,0.4716,0.6675,0.4687,0.2581
Antibacterial_003,70.0,91.0,43.0,412.0,0.7825,0.8191,0.9055,0.7389,0.8601,0.3863
MammalianCells_003,216.0,161.0,52.0,187.0,0.6542,0.5374,0.7824,0.7051,0.6371,0.3493
Antifungal_003,378.0,64.0,118.0,56.0,0.7045,0.4667,0.3218,0.6101,0.381,0.2012
Antiviral_003,480.0,26.0,77.0,33.0,0.8328,0.5593,0.3,0.7555,0.3905,0.3236
Anticancer_003,519.0,14.0,80.0,3.0,0.8474,0.1765,0.0361,0.5771,0.06,0.0206
macro_003,,,,,0.7643,0.5118,0.4692,0.6773,0.4657,0.2562
Antibacterial_003,69.0,81.0,38.0,428.0,0.8068,0.8409,0.9185,0.7589,0.8779,0.4287
MammalianCells_003,198.0,164.0,50.0,204.0,0.6526,0.5543,0.8031,0.682,0.6559,0.3514
Antifungal_003,373.0,36.0,155.0,52.0,0.6899,0.5909,0.2512,0.6103,0.3525,0.2203
Antiviral_003,491.0,30.0,55.0,40.0,0.862,0.5714,0.4211,0.7633,0.4848,0.4136
Anticancer_003,517.0,7.0,88.0,4.0,0.8458,0.3636,0.0435,0.6244,0.0777,0.0811
macro_003,,,,,0.7714,0.5842,0.4875,0.6878,0.4898,0.299
Antibacterial_003,58.0,88.0,36.0,434.0,0.7987,0.8314,0.9234,0.7305,0.875,0.3792
MammalianCells_003,190.0,168.0,44.0,214.0,0.6558,0.5602,0.8295,0.6831,0.6688,0.3661
Antifungal_003,357.0,46.0,155.0,58.0,0.6737,0.5577,0.2723,0.5881,0.3659,0.2008
Antiviral_003,499.0,26.0,62.0,29.0,0.8571,0.5273,0.3187,0.7772,0.3973,0.3349
Anticancer_003,533.0,10.0,69.0,4.0,0.8718,0.2857,0.0548,0.631,0.092,0.0789
macro_003,,,,,0.7714,0.5525,0.4797,0.682,0.4798,0.272
Antibacterial_003,56.0,91.0,47.0,422.0,0.776,0.8226,0.8998,0.7082,0.8595,0.3207
MammalianCells_003,177.0,163.0,57.0,219.0,0.6429,0.5733,0.7935,0.6533,0.6657,0.3218
Antifungal_003,357.0,48.0,150.0,61.0,0.6786,0.5596,0.2891,0.6191,0.3812,0.2121
Antiviral_003,485.0,30.0,70.0,31.0,0.8377,0.5082,0.3069,0.6812,0.3827,0.3082
Anticancer_003,507.0,15.0,93.0,1.0,0.8247,0.0625,0.0106,0.5894,0.0182,-0.0409
macro_003,,,,,0.7519,0.5052,0.46,0.6502,0.4615,0.2244
Antibacterial_004,71.0,80.0,38.0,427.0,0.8084,0.8422,0.9183,0.7668,0.8786,0.4379
MammalianCells_004,287.0,90.0,94.0,145.0,0.7013,0.617,0.6067,0.7639,0.6118,0.3691
Antifungal_004,374.0,38.0,126.0,78.0,0.7338,0.6724,0.3824,0.6774,0.4875,0.3492
Antiviral_004,481.0,27.0,71.0,37.0,0.8409,0.5781,0.3426,0.7538,0.4302,0.3607
Anticancer_004,525.0,13.0,75.0,3.0,0.8571,0.1875,0.0385,0.7084,0.0638,0.0299
macro_004,,,,,0.7883,0.5795,0.4577,0.7341,0.4944,0.3094
Antibacterial_004,70.0,72.0,38.0,436.0,0.8214,0.8583,0.9198,0.8073,0.888,0.4572
MammalianCells_004,290.0,91.0,88.0,147.0,0.7094,0.6176,0.6255,0.7599,0.6216,0.3858
