label,tn,fp,fn,tp,acc,pre,recall,auc,f1,mcc
Antibacterial_004,18.0,124.0,12.0,462.0,0.7792,0.7884,0.9747,0.7413,0.8717,0.1985
MammalianCells_004,318.0,63.0,137.0,98.0,0.6753,0.6087,0.417,0.7079,0.4949,0.2782
Antifungal_004,419.0,4.0,186.0,7.0,0.6916,0.6364,0.0363,0.6353,0.0686,0.0939
Antiviral_004,504.0,13.0,85.0,14.0,0.8409,0.5185,0.1414,0.7559,0.2222,0.2086
Anticancer_004,544.0,0.0,72.0,0.0,0.8831,,0.0,0.6433,,
macro_004,,,,,0.774,0.638,0.3139,0.6967,0.4144,0.1948
Antibacterial_004,16.0,132.0,4.0,464.0,0.7792,0.7785,0.9915,0.7366,0.8722,0.24
MammalianCells_004,284.0,68.0,149.0,115.0,0.6477,0.6284,0.4356,0.6991,0.5145,0.2625
Antifungal_004,397.0,25.0,180.0,14.0,0.6672,0.359,0.0722,0.6054,0.1202,0.0246
Antiviral_004,509.0,7.0,88.0,12.0,0.8458,0.6316,0.12,0.7493,0.2017,0.227
Anticancer_004,528.0,0.0,88.0,0.0,0.8571,,0.0,0.6225,,
macro_004,,,,,0.7594,0.5994,0.3238,0.6826,0.4271,0.1885
Antibacterial_004,37.0,97.0,31.0,451.0,0.7922,0.823,0.9357,0.7533,0.8757,0.2788
MammalianCells_004,288.0,84.0,145.0,99.0,0.6282,0.541,0.4057,0.6643,0.4637,0.1926
Antifungal_004,402.0,1.0,213.0,0.0,0.6526,0.0,0.0,0.5523,,-0.0293
Antiviral_004,524.0,11.0,59.0,22.0,0.8864,0.6667,0.2716,0.7265,0.386,0.3768
Anticancer_004,533.0,0.0,83.0,0.0,0.8653,,0.0,0.6117,,
macro_004,,,,,0.7649,0.5077,0.3226,0.6616,0.5751,0.2047
Antibacterial_004,30.0,111.0,17.0,458.0,0.7922,0.8049,0.9642,0.7521,0.8774,0.2801
MammalianCells_004,248.0,114.0,99.0,155.0,0.6542,0.5762,0.6102,0.7026,0.5927,0.2931
Antifungal_004,417.0,1.0,198.0,0.0,0.6769,0.0,0.0,0.5705,,-0.0278
Antiviral_004,519.0,9.0,72.0,16.0,0.8685,0.64,0.1818,0.7563,0.2832,0.2922
Anticancer_004,544.0,0.0,72.0,0.0,0.8831,,0.0,0.6324,,
macro_004,,,,,0.775,0.5053,0.3513,0.6828,0.5844,0.2094
Antibacterial_004,22.0,133.0,21.0,440.0,0.75,0.7679,0.9544,0.7314,0.8511,0.1641
MammalianCells_004,236.0,129.0,80.0,171.0,0.6607,0.57,0.6813,0.7075,0.6207,0.3223
Antifungal_004,407.0,9.0,195.0,5.0,0.6688,0.3571,0.025,0.5669,0.0467,0.0106
Antiviral_004,502.0,10.0,90.0,14.0,0.8377,0.5833,0.1346,0.7523,0.2188,0.2228
Anticancer_004,537.0,0.0,79.0,0.0,0.8718,,0.0,0.6819,,
macro_004,,,,,0.7578,0.5696,0.3591,0.688,0.4343,0.18
Antibacterial_004,28.0,133.0,26.0,429.0,0.7419,0.7633,0.9429,0.763,0.8437,0.1814
MammalianCells_004,271.0,106.0,106.0,133.0,0.6558,0.5565,0.5565,0.7104,0.5565,0.2753
Antifungal_004,439.0,3.0,174.0,0.0,0.7127,0.0,0.0,0.5746,,-0.0439
Antiviral_004,501.0,5.0,94.0,16.0,0.8393,0.7619,0.1455,0.721,0.2443,0.2861
Anticancer_004,533.0,0.0,83.0,0.0,0.8653,,0.0,0.6185,,
macro_004,,,,,0.763,0.5204,0.329,0.6775,0.5481,0.1747
Antibacterial_004,45.0,105.0,34.0,432.0,0.7744,0.8045,0.927,0.774,0.8614,0.2914
MammalianCells_004,238.0,124.0,103.0,151.0,0.6315,0.5491,0.5945,0.674,0.5709,0.2495
Antifungal_004,409.0,0.0,207.0,0.0,0.664,,0.0,0.5735,,
Antiviral_004,510.0,11.0,76.0,19.0,0.8588,0.6333,0.2,0.7947,0.304,0.3002
Anticancer_004,524.0,0.0,92.0,0.0,0.8506,,0.0,0.6106,,
macro_004,,,,,0.7558,0.6623,0.3443,0.6854,0.5788,0.2804
Antibacterial_004,35.0,111.0,22.0,448.0,0.7841,0.8014,0.9532,0.7546,0.8707,0.2831
MammalianCells_004,260.0,98.0,111.0,147.0,0.6607,0.6,0.5698,0.6976,0.5845,0.2984
Antifungal_004,403.0,0.0,212.0,1.0,0.6558,1.0,0.0047,0.579,0.0093,0.0555
Antiviral_004,519.0,6.0,75.0,16.0,0.8685,0.7273,0.1758,0.7738,0.2832,0.3143
Anticancer_004,543.0,0.0,73.0,0.0,0.8815,,0.0,0.6715,,
macro_004,,,,,0.7701,0.7822,0.3407,0.6953,0.4369,0.2378
Antibacterial_004,27.0,120.0,16.0,453.0,0.7792,0.7906,0.9659,0.7508,0.8695,0.2502
MammalianCells_004,217.0,123.0,73.0,203.0,0.6818,0.6227,0.7355,0.7273,0.6744,0.3724
Antifungal_004,404.0,1.0,211.0,0.0,0.6558,0.0,0.0,0.6003,,-0.0291
Antiviral_004,505.0,10.0,84.0,17.0,0.8474,0.6296,0.1683,0.7193,0.2656,0.2693
Anticancer_004,522.0,0.0,94.0,0.0,0.8474,,0.0,0.6078,,
macro_004,,,,,0.7623,0.5107,0.3739,0.6811,0.6032,0.2157
Antibacterial_005,36.0,115.0,10.0,455.0,0.7971,0.7982,0.9785,0.7881,0.8792,0.355
MammalianCells_005,281.0,96.0,117.0,122.0,0.6542,0.5596,0.5105,0.6971,0.5339,0.2607
